"Dia-Mes","Temperatura media","Fecha Momento minima","Temperatura minima","Fecha Momento maxima","Temperatura maxima"
"6-Dic","15.9","6/12/1999","7","6/12/2022","29.5"
"7-Dic","15.5","7/12/1999","5.5","7/12/2022","28.4"
"8-Dic","15.8","8/12/2009","8.1","8/12/2022","30.7"
"9-Dic","16","9/12/1999","7.5","9/12/2023","29.4"
"10-Dic","16","10/12/2020","7.5","10/12/2022","30.9"
"11-Dic","16.6","11/12/2010","9.1","11/12/2022","31.6"
"12-Dic","16.9","12/12/2010","6.7","12/12/2019","32.7"
"13-Dic","16.4","13-12-2014","7.8","13-12-2020","30.8"
"14-Dic","16.5","14-12-2021","8.7","14-12-2017","29.3"
"15-Dic","16.2","15-12-2014","8.9","15-12-2022","33.4"
"16-Dic","16.7","16-12-2023","8.8","16-12-2000","31.4"
"17-Dic","16.4","17-12-2014","8.7","17-12-2019","30.6"
"18-Dic","16.5","18-12-2014","8.8","18-12-2019","29.3"
"19-Dic","16","19-12-2010","7.5","19-12-2017","26.2"
"20-Dic","16.4","20-12-1996","9.2","20-12-2019","28.6"
"21-Dic","17","21-12-2006","8.2","21-12-2019","29.7"
"22-Dic","17.1","22-12-2009","9.2","22-12-2019","31.5"
"23-Dic","16.5","23-12-2009","7","23-12-2000","27.3"
"24-Dic","16.9","24-12-2017","8.2","24-12-2000","29.8"
"25-Dic","16.8","25-12-2016","9.7","25-12-2002","30"
"26-Dic","16.9","26-12-2019","9.4","26-12-2006","28"
"27-Dic","17.1","27-12-2014","9.5","27-12-2013","28.5"
"28-Dic","17.1","28-12-2018","9.6","28-12-2019","32.2"
"29-Dic","16.9","29-12-2018","8","29-12-2013","31.2"
"30-Dic","17","30-12-2003","9.6","30-12-2006","29.6"
"31-Dic","17.1","31-12-2003","9.6","31-12-2007","29"
